Position (cm ± 0.1),Background magnetic field (G ± 0.05),Section 3 magnetic field (G ± 0.05),Section 2 magnetic field (G ± 0.05),Section 1 magnetic field (G ± 0.05),Section 4 magnetic field (G ± 0.05)
77.5,-1.35,-1.38,-1.36,-1.47,-1.37
78,-1.34,-1.36,-1.36,-1.47,-1.36
78.5,-1.35,-1.37,-1.37,-1.45,-1.36
79,-1.36,-1.37,-1.35,-1.44,-1.37
79.5,-1.38,-1.37,-1.34,-1.43,-1.37
80,-1.37,-1.4,-1.37,-1.41,-1.38
80.5,-1.38,-1.38,-1.37,-1.41,-1.37
81,-1.37,-1.4,-1.38,-1.41,-1.36
81.5,-1.36,-1.39,-1.38,-1.42,-1.35
82,-1.34,-1.36,-1.37,-1.4,-1.36
82.5,-1.35,-1.36,-1.34,-1.4,-1.35
83,-1.34,-1.34,-1.33,-1.39,-1.34
83.5,-1.33,-1.32,-1.33,-1.39,-1.32
84,-1.31,-1.32,-1.32,-1.36,-1.31
